flight_id,origin_city_id,destination_city_id,departure_time,arrival_time,airline_id,status,ErrorText
1342104,1124,1587,10/17/2016 07:55:00,10/17/2016 19:05:00,2,New flights,
1318732,1294,824,10/17/2016 15:20:00,10/17/2016 22:45:00,2,New flights,
1370005,925,3594,10/16/2016 14:30:00,10/17/2016 06:45:00,2,New flights,
1342101,1124,217,10/17/2016 22:45:00,10/18/2016 05:45:00,3,New flights,
1370008,925,3594,10/16/2016 22:30:00,10/17/2016 14:30:00,2,New flights,
1370009,925,3594,10/16/2016 23:45:00,10/17/2016 16:30:00,2,New flights,
1328042,3398,925,10/17/2016 21:55:00,10/18/2016 17:30:00,2,New flights,
1342119,1177,4206,10/17/2016 21:45:00,10/18/2016 07:00:00,3,New flights,
1342116,1177,4206,10/17/2016 09:10:00,10/17/2016 19:20:00,2,New flights,
1342122,1177,3863,10/17/2016 08:35:00,10/17/2016 18:55:00,2,New flights,
1342113,1124,5330,10/17/2016 18:35:00,10/18/2016 16:00:00,2,New flights,
1342110,1124,5330,10/17/2016 02:10:00,10/17/2016 17:45:00,2,New flights,
1342114,1177,4206,10/17/2016 01:00:00,10/17/2016 09:00:00,2,New flights,
1342123,1177,3863,10/17/2016 12:10:00,10/17/2016 20:20:00,2,New flights,
1342117,1177,4206,10/17/2016 19:10:00,10/18/2016 06:45:00,2,New flights,
1342121,1177,3863,10/17/2016 02:35:00,10/17/2016 10:45:00,2,New flights,
1342118,1177,4206,10/17/2016 20:35:00,10/18/2016 08:30:00,2,New flights,
1342115,1177,4206,10/17/2016 05:00:00,10/17/2016 16:00:00,2,New flights,
1370007,925,3594,10/16/2016 21:30:00,10/17/2016 13:00:00,2,New flights,
1342112,1124,5330,10/17/2016 14:30:00,10/18/2016 07:25:00,2,New flights,
1342111,1124,5330,10/17/2016 02:15:00,10/17/2016 18:00:00,2,New flights,
1342124,1177,3863,10/17/2016 19:05:00,10/18/2016 03:40:00,2,New flights,
1370015,1294,3565,10/16/2016 22:00:00,10/17/2016 05:25:00,50,New flights,
1342138,1177,4108,10/17/2016 12:10:00,10/18/2016 00:55:00,2,New flights,
1342125,1177,3863,10/17/2016 23:05:00,10/18/2016 12:10:00,2,New flights,
1342126,1177,3863,10/17/2016 23:20:00,10/18/2016 13:00:00,2,New flights,
1342139,1177,4108,10/17/2016 19:05:00,10/18/2016 07:50:00,2,New flights,
1342140,1177,4108,10/17/2016 23:05:00,10/18/2016 14:30:00,2,New flights,
1370010,925,3594,10/16/2016 21:45:00,10/17/2016 13:00:00,2,New flights,
1370011,1046,197,10/16/2016 12:00:00,10/17/2016 12:35:00,3,New flights,
1370012,1046,3584,10/16/2016 12:30:00,10/17/2016 03:55:00,50,New flights,
1370014,1046,3584,10/16/2016 12:30:00,10/17/2016 03:15:00,3,New flights,
1370013,1046,3584,10/16/2016 18:30:00,10/17/2016 08:00:00,2,New flights,
1342135,1177,3398,10/17/2016 10:50:00,10/17/2016 18:40:00,2,New flights,
1342136,1177,3398,10/17/2016 16:50:00,10/18/2016 06:45:00,2,New flights,
1342137,1177,4108,10/17/2016 02:35:00,10/17/2016 14:20:00,2,New flights,
1342132,1177,3398,10/17/2016 18:55:00,10/18/2016 06:45:00,2,New flights,
1342128,1177,3398,10/17/2016 22:15:00,10/18/2016 07:00:00,10,New flights,
1342129,1177,3398,10/17/2016 22:15:00,10/18/2016 06:30:00,3,New flights,
1342133,1177,3398,10/17/2016 20:35:00,10/18/2016 08:25:00,2,New flights,
1342130,1177,3398,10/17/2016 01:05:00,10/17/2016 08:50:00,2,New flights,
1342131,1177,3398,10/17/2016 10:10:00,10/18/2016 06:10:00,2,New flights,
1342134,1177,3398,10/17/2016 05:00:00,10/17/2016 18:10:00,2,New flights,
1370017,1294,3565,10/16/2016 22:00:00,10/17/2016 05:30:00,3,New flights,
1370016,1294,3565,10/16/2016 00:30:00,10/16/2016 12:20:00,23,New flights,
1342143,1177,4108,10/17/2016 09:45:00,10/17/2016 21:30:00,16,New flights,
1370021,1294,3584,10/16/2016 01:00:00,10/16/2016 08:00:00,2,New flights,
1370018,1294,4937,10/16/2016 19:30:00,10/17/2016 08:45:00,3,New flights,
1370020,1294,4937,10/16/2016 16:00:00,10/17/2016 05:30:00,8,New flights,
